category,name,subcategory
Dynamics 365 for Team Members Enterprise Edition (SMB Offer),Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition (SMB Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition (SMB Offer) for Students,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition Add-On for AX Task or Self-serve (Qualified Offer),Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition Add-On for AX Task or Self-serve (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition Add-On for AX Task or Self-serve (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition Add-On for CRM Essentials (Qualified Offer),Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition Add-On for CRM Essentials (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition Add-On for CRM Essentials (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition for Faculty,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition for Students,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition From SA for AX Task or Self-serve (Qualified Offer),Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition From SA for AX Task or Self-serve (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition From SA for AX Task or Self-serve (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition From SA for CRM Essentials (Qualified Offer),Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition From SA for CRM Essentials (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition From SA for CRM Essentials (Qualified Offer) for Students,Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition add-on for GP Ltd/SL Light (qualified offer)",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition add-on for GP Ltd/SL Light (qualified offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition add-on for GP Ltd/SL Light (qualified offer) for Students",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition for Students",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition from SA for GP/SL Ltd (qualified offer)",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition from SA for GP/SL Ltd (qualified offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Team Members, Business Edition from SA for GP/SL Ltd (qualified offer) for Students",Dynamics 365, 
"Dynamics 365 for Team Members, Enterprise Edition - From SA From Team Members (On-Premises) User/Device CAL",Dynamics 365, 
