,brand,model,partner_price,retail_price,category
455,Cisco,ACS-2901-RM-23=,138.0,230.0,DELETE
456,Cisco,ACS-2901-RM-19=,69.0,115.0,DELETE
457,Cisco,ACS-2900-RM-23=,138.0,230.0,DELETE
458,Cisco,ACS-2900-RM-19=,69.0,115.0,DELETE
459,Cisco,ACS-2821-51RM-19=,60.0,100.0,DELETE
460,Cisco,ACS-2821-51-FANS=,60.0,100.0,DELETE
461,Cisco,ACS-2811RM-23=,60.0,100.0,DELETE
478,Cisco,CPAK-100G-SR10=,4197.0,6995.0,Network
479,Cisco,CPAK-100G-SR10,4197.0,6995.0,Network
480,Cisco,CPAK-100G-LR4=,24000.0,40000.0,Network
481,Cisco,CPAK-100G-LR4,24000.0,40000.0,Network
482,Cisco,CPAK-100G-ER4L,45000.0,75000.0,Network
483,Cisco,CP-WMK-C-6900=,45.0,75.0,Network
484,Cisco,CP-WMK-AW-6900=,45.0,75.0,Network
485,Cisco,CP-WB-HANDSET=,15.0,25.0,Network
486,Cisco,CP-WALLMOUNTKIT=,15.6,26.0,Network
487,Cisco,CP-SINGLFOOTSTAND=,19.8,33.0,Network
488,Cisco,CP-SHOULDER-7921G=,0.7,35.0,Network
489,Cisco,CP-RUG-CASE-7925G=,72.0,120.0,Network
490,Cisco,CP-PWR-MC7925G=,33.0,55.0,Power
491,Cisco,CP-PWR-MC7925G-EU=,33.0,55.0,Power
492,Cisco,CP-PWR-MC7925G,33.0,55.0,Power
493,Cisco,CP-PWR-INJ=,75.0,125.0,Power
494,Cisco,CP-PWR-INJ-RF,45.0,75.0,Network
495,Cisco,CP-PWR-INJ,75.0,125.0,Power
496,Cisco,ACE30-MOD-04K9-RF,19798.2,32997.0,Network
497,Cisco,ACE20-SBC-K9,36000.0,60000.0,DELETE
498,Cisco,ACE30-MOD-08K9-RF,25198.2,41997.0,Network
499,Cisco,ACE30-MOD-16K9-RF,39598.2,65997.0,Network
500,Cisco,ACE-VIRT-050,500.0,25000.0,DELETE
504,Cisco,DINCLP-IE3000=,12.0,20.0,Network
505,Cisco,BD9036-MP1LII-EN,48.0,80.0,Network
506,Cisco,BD9036-PREFILT,359.4,599.0,Network
507,Cisco,BD9036-SDAVC-1,1740.0,2900.0,Network
508,Cisco,BD9036-SDMP2-1,960.0,1600.0,Network
509,Cisco,CP-MCHGR-7925G,342.0,570.0,Network
510,Cisco,CP-MCHGR-7921G-BUN,,625.0,Network
511,Cisco,CP-LOCK-7921G=,0.4,20.0,Network
512,Cisco,CP-LKC-W-JPN=,90.0,150.0,Network
514,Cisco,BDCM-8VSB,150.0,250.0,Network
516,Cisco,BDCM-AAC-TC,597.0,995.0,Network
